loss_cat,epoch,value
loss,1,1.6967558160896214
loss,2,1.3204540279925678
loss,3,1.2620659922987087
loss,4,1.2293520093773285
loss,5,1.2075385197120554
loss,6,1.1910079736515409
loss,7,1.173286084608255
loss,8,1.149380091695764
loss,9,1.1224771752211842
loss,10,1.0964638806576104
loss,11,1.0717433488746575
loss,12,1.0443830410549544
loss,13,1.0063057459587426
loss,14,0.9745553572792812
loss,15,0.9427127128812522
loss,16,0.9161629147524208
loss,17,0.8932307676761938
loss,18,0.8755498407787867
loss,19,0.853108783180897
loss,20,0.831241122468025
val_loss,1,1.4146341938721507
val_loss,2,1.37286591341621
val_loss,3,1.3612483074790553
val_loss,4,1.3458202901639436
val_loss,5,1.3438597980298495
val_loss,6,1.3735767552727147
val_loss,7,1.3431066349933023
val_loss,8,1.36539806880449
val_loss,9,1.376171424514369
val_loss,10,1.419246792793274
val_loss,11,1.4387476306212577
val_loss,12,1.4759771704673768
val_loss,13,1.491504395008087
val_loss,14,1.5476506904551857
val_loss,15,1.5707818696373388
val_loss,16,1.609789262319866
val_loss,17,1.6513757059448644
val_loss,18,1.690731510363127
val_loss,19,1.7071128631892958
val_loss,20,1.7327540761546085
