loss_cat,epoch,value
loss,1,1.4089564031880981
loss,2,1.3386406121298733
loss,3,1.3257963801587198
loss,4,1.3159665670172147
loss,5,1.3017026417706565
loss,6,1.2871439235874624
loss,7,1.2722722485235085
loss,8,1.259988252555147
loss,9,1.2479336159812582
loss,10,1.2369295237439477
loss,11,1.22750051847317
loss,12,1.2183076359340879
loss,13,1.2129343135528685
loss,14,1.20353431897713
loss,15,1.1963051775639555
loss,16,1.1914931146311902
loss,17,1.1849406273733665
loss,18,1.1806370583598316
loss,19,1.175834024529586
loss,20,1.171624413652801
val_loss,1,1.770767418816096
val_loss,2,1.8388617816260748
val_loss,3,1.88800533755159
val_loss,4,1.9225403458587726
val_loss,5,1.9785205642906531
val_loss,6,2.02129676631384
val_loss,7,2.15117679749441
val_loss,8,2.084466249710023
val_loss,9,2.1456679996525705
val_loss,10,2.2025574668416246
val_loss,11,2.1796431148901463
val_loss,12,2.226700357837224
val_loss,13,2.2505576480347123
val_loss,14,2.2755562833871563
val_loss,15,2.2915448970090115
val_loss,16,2.298841538089561
val_loss,17,2.3674329883504983
val_loss,18,2.354686670944999
val_loss,19,2.4022548088612217
val_loss,20,2.399314101641914
