loss_cat,epoch,value
loss,1,2.5446592406793074
loss,2,1.8559913784265518
loss,3,1.593629694797776
loss,4,1.433020437305624
loss,5,1.3845498223196377
loss,6,1.310933847318996
loss,7,1.2728360417214306
loss,8,1.2411676360802217
loss,9,1.2244216271422126
loss,10,1.198244921863079
loss,11,1.1823246052319354
loss,12,1.1619202237237582
loss,13,1.1493183435364203
loss,14,1.1314661421559074
loss,15,1.1132787466049194
loss,16,1.104373294521462
loss,17,1.0855972211469302
loss,18,1.067540506747636
loss,19,1.0361731878735803
loss,20,1.010452393781055
val_loss,1,2.173869621753693
val_loss,2,1.8456035017967225
val_loss,3,1.6170171856880189
val_loss,4,1.5690129458904267
val_loss,5,1.5021140575408936
val_loss,6,1.4128208458423615
val_loss,7,1.3935615122318268
val_loss,8,1.3850937485694885
val_loss,9,1.3684930801391602
val_loss,10,1.3652202427387237
val_loss,11,1.348978078365326
val_loss,12,1.348904150724411
val_loss,13,1.3424003899097443
val_loss,14,1.325772798061371
val_loss,15,1.3779260694980622
val_loss,16,1.3385833084583283
val_loss,17,1.3582814037799835
val_loss,18,1.3281924605369568
val_loss,19,1.3268366277217865
val_loss,20,1.335100132226944
